ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
07111000,"Koblenz, Stadt",07,Rheinland-Pfalz,112586,54391,58195,11696,7789,3907,15502,10196,5306,10.4,6.9,3.5,13.8,9.1,4.7
07131007,"Bad Neuenahr-Ahrweiler, Stadt",07,Rheinland-Pfalz,27468,12785,14683,3029,1998,1031,3219,2083,1136,11.0,7.3,3.8,11.7,7.6,4.1
07131070,"Remagen, Stadt",07,Rheinland-Pfalz,16392,8056,8336,1778,1195,583,1493,998,495,10.8,7.3,3.6,9.1,6.1,3.0
07131077,"Sinzig, Stadt",07,Rheinland-Pfalz,17330,8486,8844,1892,1248,644,2359,1699,660,10.9,7.2,3.7,13.6,9.8,3.8
07131090,Grafschaft,07,Rheinland-Pfalz,10944,5505,5439,1298,829,469,870,561,309,11.9,7.6,4.3,7.9,5.1,2.8
07131001,"Adenau, Stadt",07,Rheinland-Pfalz,2947,1435,1512,361,255,106,578,407,171,12.2,8.7,3.6,19.6,13.8,5.8
07131004,Antweiler,07,Rheinland-Pfalz,536,279,257,65,42,23,41,29,12,12.1,7.8,4.3,7.6,5.4,2.2
07131005,Aremberg,07,Rheinland-Pfalz,225,121,104,27,20,7,-1,-1,-1,12.0,8.9,3.1,-0.4,,
07131008,Barweiler,07,Rheinland-Pfalz,404,204,200,69,52,17,85,54,31,17.1,12.9,4.2,21.0,13.4,7.7
07131009,Bauler,07,Rheinland-Pfalz,67,37,30,9,4,5,-1,-1,-1,13.4,6.0,7.5,-1.5,,
07131015,Dankerath,07,Rheinland-Pfalz,71,40,31,14,10,4,-1,-1,-1,19.7,14.1,5.6,-1.4,,
07131018,Dorsel,07,Rheinland-Pfalz,193,93,100,21,14,7,-1,-1,-1,10.9,7.3,3.6,-0.5,,
07131021,Eichenbach,07,Rheinland-Pfalz,70,35,35,8,-1,-1,-1,-1,-1,11.4,,,-1.4,,
07131022,Fuchshofen,07,Rheinland-Pfalz,94,46,48,13,-1,-1,-1,-1,-1,13.8,,,-1.1,,
07131026,Harscheid,07,Rheinland-Pfalz,144,68,76,14,10,4,11,-1,-1,9.7,6.9,2.8,7.6,,
07131028,Herschbroich,07,Rheinland-Pfalz,259,132,127,30,18,12,-1,-1,-1,11.6,6.9,4.6,-0.4,,
07131030,Hoffeld,07,Rheinland-Pfalz,275,150,125,32,18,14,-1,-1,-1,11.6,6.5,5.1,-0.4,,
07131032,Honerath,07,Rheinland-Pfalz,158,80,78,20,10,10,4,n/a,4,12.7,6.3,6.3,2.5,,2.5
07131033,Hümmel,07,Rheinland-Pfalz,479,260,219,80,56,24,16,11,5,16.7,11.7,5.0,3.3,2.3,1.0
07131034,Insul,07,Rheinland-Pfalz,488,230,258,65,46,19,60,51,9,13.3,9.4,3.9,12.3,10.5,1.8
07131037,Kaltenborn,07,Rheinland-Pfalz,364,184,180,72,49,23,21,10,11,19.8,13.5,6.3,5.8,2.7,3.0
07131042,Kottenborn,07,Rheinland-Pfalz,179,89,90,23,15,8,-1,-1,-1,12.8,8.4,4.5,-0.6,,
07131044,Leimbach,07,Rheinland-Pfalz,465,224,241,65,42,23,-1,-1,-1,14.0,9.0,4.9,-0.2,,
07131050,Meuspath,07,Rheinland-Pfalz,141,78,63,20,15,5,137,58,79,14.2,10.6,3.5,97.2,41.1,56.0
07131051,Müllenbach,07,Rheinland-Pfalz,469,240,229,59,37,22,116,56,60,12.6,7.9,4.7,24.7,11.9,12.8
07131052,Müsch,07,Rheinland-Pfalz,213,101,112,33,26,7,27,15,12,15.5,12.2,3.3,12.7,7.0,5.6
07131058,Nürburg,07,Rheinland-Pfalz,176,96,80,44,30,14,431,234,197,25.0,17.0,8.0,244.9,133.0,111.9
07131062,Ohlenhard,07,Rheinland-Pfalz,154,77,77,20,13,7,5,-1,-1,13.0,8.4,4.5,3.2,,
07131065,Pomster,07,Rheinland-Pfalz,148,68,80,22,14,8,-1,n/a,-1,14.9,9.5,5.4,-0.7,,
07131066,Quiddelbach,07,Rheinland-Pfalz,259,130,129,41,23,18,-1,-1,-1,15.8,8.9,6.9,-0.4,,
07131069,Reifferscheid,07,Rheinland-Pfalz,496,245,251,60,38,22,34,19,15,12.1,7.7,4.4,6.9,3.8,3.0
07131072,Rodder,07,Rheinland-Pfalz,246,131,115,37,22,15,-1,-1,-1,15.0,8.9,6.1,-0.4,,
07131074,Schuld,07,Rheinland-Pfalz,691,339,352,84,69,15,69,52,17,12.2,10.0,2.2,10.0,7.5,2.5
07131075,Senscheid,07,Rheinland-Pfalz,91,46,45,11,7,4,-1,-1,n/a,12.1,7.7,4.4,-1.1,,
07131076,Sierscheid,07,Rheinland-Pfalz,86,46,40,11,8,3,-1,-1,-1,12.8,9.3,3.5,-1.2,,
07131079,Trierscheid,07,Rheinland-Pfalz,69,31,38,9,5,4,-1,-1,-1,13.0,7.2,5.8,-1.4,,
07131082,Wershofen,07,Rheinland-Pfalz,892,439,453,120,78,42,107,73,34,13.5,8.7,4.7,12.0,8.2,3.8
07131083,Wiesemscheid,07,Rheinland-Pfalz,255,141,114,44,26,18,37,23,14,17.3,10.2,7.1,14.5,9.0,5.5
07131084,Wimbach,07,Rheinland-Pfalz,455,225,230,66,46,20,20,12,8,14.5,10.1,4.4,4.4,2.6,1.8
07131085,Winnerath,07,Rheinland-Pfalz,186,95,91,19,13,6,-1,-1,-1,10.2,7.0,3.2,-0.5,,
07131086,Wirft,07,Rheinland-Pfalz,172,79,93,32,23,9,5,-1,-1,18.6,13.4,5.2,2.9,,
07131501,Dümpelfeld,07,Rheinland-Pfalz,572,277,295,60,43,17,21,15,6,10.5,7.5,3.0,3.7,2.6,1.0
07131002,Ahrbrück,07,Rheinland-Pfalz,1182,593,589,123,75,48,68,48,20,10.4,6.3,4.1,5.8,4.1,1.7
07131003,Altenahr,07,Rheinland-Pfalz,1893,928,965,257,180,77,312,227,85,13.6,9.5,4.1,16.5,12.0,4.5
07131011,Berg,07,Rheinland-Pfalz,1285,656,629,149,104,45,61,41,20,11.6,8.1,3.5,4.7,3.2,1.6
07131017,Dernau,07,Rheinland-Pfalz,1746,858,888,212,144,68,203,121,82,12.1,8.2,3.9,11.6,6.9,4.7
07131027,Heckenbach,07,Rheinland-Pfalz,255,131,124,22,15,7,-1,-1,-1,8.6,5.9,2.7,-0.4,,
07131029,Hönningen,07,Rheinland-Pfalz,1047,516,531,132,87,45,40,24,16,12.6,8.3,4.3,3.8,2.3,1.5
07131036,Kalenborn,07,Rheinland-Pfalz,662,320,342,78,45,33,18,11,7,11.8,6.8,5.0,2.7,1.7,1.1
07131039,Kesseling,07,Rheinland-Pfalz,600,300,300,69,48,21,21,11,10,11.5,8.0,3.5,3.5,1.8,1.7
