ags,name,bundesland_id,bundesland,bevoelkerung_total,bevoelkerung_maennlich,bevoelkerung_weiblich,mj_wohnort_insgesamt,mj_wohnort_ausschliesslich,mj_wohnort_nebenjob,mj_arbeitsort_insgesamt,mj_arbeitsort_ausschliesslich,mj_arbeitsort_nebenjob,mj_wohnort_insgesamt_prozent,mj_wohnort_ausschliesslich_prozent,mj_wohnort_nebenjob_prozent,mj_arbeitsort_insgesamt_prozent,mj_arbeitsort_ausschliesslich_prozent,mj_arbeitsort_nebenjob_prozent
03101000,"Braunschweig, Stadt",03,Niedersachsen,251364,125001,126363,20719,14464,6255,23903,16682,7221,8.2,5.8,2.5,9.5,6.6,2.9
03102000,"Salzgitter, Stadt",03,Niedersachsen,101079,49898,51181,7687,5606,2081,6652,4796,1856,7.6,5.5,2.1,6.6,4.7,1.8
03103000,"Wolfsburg, Stadt",03,Niedersachsen,124045,61581,62464,9075,6364,2711,10580,7217,3363,7.3,5.1,2.2,8.5,5.8,2.7
03151009,"Gifhorn, Stadt",03,Niedersachsen,41905,20661,21244,3424,2452,972,3911,2872,1039,8.2,5.9,2.3,9.3,6.9,2.5
03151025,Sassenburg,03,Niedersachsen,11358,5707,5651,830,615,215,397,290,107,7.3,5.4,1.9,3.5,2.6,0.9
03151040,"Wittingen, Stadt",03,Niedersachsen,11480,5765,5715,886,626,260,707,499,208,7.7,5.5,2.3,6.2,4.3,1.8
03151002,Barwedel,03,Niedersachsen,1000,522,478,77,51,26,16,12,4,7.7,5.1,2.6,1.6,1.2,0.4
03151004,Bokensdorf,03,Niedersachsen,1185,582,603,79,53,26,28,23,5,6.7,4.5,2.2,2.4,1.9,0.4
03151014,Jembke,03,Niedersachsen,1965,963,1002,147,96,51,80,49,31,7.5,4.9,2.6,4.1,2.5,1.6
03151020,Osloß,03,Niedersachsen,1927,977,950,117,84,33,31,25,6,6.1,4.4,1.7,1.6,1.3,0.3
03151030,Tappenbeck,03,Niedersachsen,1390,674,716,89,64,25,-1,-1,-1,6.4,4.6,1.8,-0.1,,
03151039,Weyhausen,03,Niedersachsen,2443,1200,1243,182,133,49,203,163,40,7.4,5.4,2.0,8.3,6.7,1.6
03151003,Bergfeld,03,Niedersachsen,886,443,443,65,45,20,-1,-1,-1,7.3,5.1,2.3,-0.1,,
03151005,"Brome, Flecken",03,Niedersachsen,3209,1620,1589,244,186,58,229,179,50,7.6,5.8,1.8,7.1,5.6,1.6
03151008,Ehra-Lessien,03,Niedersachsen,2291,1298,993,102,74,28,42,29,13,4.5,3.2,1.2,1.8,1.3,0.6
03151021,Parsau,03,Niedersachsen,1860,952,908,132,96,36,102,78,24,7.1,5.2,1.9,5.5,4.2,1.3
03151024,Rühen,03,Niedersachsen,5488,2802,2686,337,252,85,185,135,50,6.1,4.6,1.5,3.4,2.5,0.9
03151031,Tiddische,03,Niedersachsen,1256,640,616,75,59,16,38,24,14,6.0,4.7,1.3,3.0,1.9,1.1
03151032,Tülau,03,Niedersachsen,1480,749,731,88,65,23,35,22,13,5.9,4.4,1.6,2.4,1.5,0.9
03151007,Dedelstorf,03,Niedersachsen,1248,625,623,107,73,34,43,24,19,8.6,5.8,2.7,3.4,1.9,1.5
03151011,Hankensbüttel,03,Niedersachsen,4385,2178,2207,436,297,139,420,292,128,9.9,6.8,3.2,9.6,6.7,2.9
03151019,Obernholz,03,Niedersachsen,889,453,436,87,57,30,77,54,23,9.8,6.4,3.4,8.7,6.1,2.6
03151028,Sprakensehl,03,Niedersachsen,1242,636,606,92,67,25,69,55,14,7.4,5.4,2.0,5.6,4.4,1.1
03151029,Steinhorst,03,Niedersachsen,1276,636,640,119,84,35,71,62,9,9.3,6.6,2.7,5.6,4.9,0.7
03151006,Calberlah,03,Niedersachsen,4967,2484,2483,356,259,97,173,116,57,7.2,5.2,2.0,3.5,2.3,1.1
03151013,Isenbüttel,03,Niedersachsen,6416,3291,3125,472,326,146,565,409,156,7.4,5.1,2.3,8.8,6.4,2.4
03151022,Ribbesbüttel,03,Niedersachsen,2015,1030,985,152,110,42,55,42,13,7.5,5.5,2.1,2.7,2.1,0.6
03151037,Wasbüttel,03,Niedersachsen,1889,943,946,150,111,39,49,37,12,7.9,5.9,2.1,2.6,2.0,0.6
03151012,Hillerse,03,Niedersachsen,2473,1222,1251,181,127,54,81,50,31,7.3,5.1,2.2,3.3,2.0,1.3
03151015,Leiferde,03,Niedersachsen,4339,2163,2176,354,262,92,239,169,70,8.2,6.0,2.1,5.5,3.9,1.6
03151017,Meinersen,03,Niedersachsen,8147,4064,4083,668,459,209,520,354,166,8.2,5.6,2.6,6.4,4.3,2.0
03151018,Müden (Aller),03,Niedersachsen,5421,2719,2702,484,336,148,332,220,112,8.9,6.2,2.7,6.1,4.1,2.1
03151001,Adenbüttel,03,Niedersachsen,1734,880,854,131,95,36,90,69,21,7.6,5.5,2.1,5.2,4.0,1.2
03151016,Meine,03,Niedersachsen,8556,4196,4360,620,453,167,559,437,122,7.2,5.3,2.0,6.5,5.1,1.4
03151023,Rötgesbüttel,03,Niedersachsen,2241,1142,1099,176,131,45,65,48,17,7.9,5.8,2.0,2.9,2.1,0.8
